pitch,on,off,length,hand
66,0,480,480,1
74,0,480,480,1
69,0,480,480,1
79,960,1092,132,1
78,1080,1212,132,1
76,1200,1332,132,1
78,1320,1452,132,1
81,1440,1572,132,1
79,1560,1692,132,1
78,1680,1812,132,1
79,1800,1932,132,1
81,1920,2400,480,1
81,2880,2940,60,1
83,3120,3180,60,1
85,3360,3420,60,1
86,3600,3660,60,1
81,3840,4320,480,1
78,4320,4800,480,1
81,4800,4920,120,1
79,4920,5040,120,1
78,5040,5160,120,1
79,5160,5280,120,1
81,5280,5340,60,1
79,5520,5580,60,1
77,5760,6000,240,1
78,6000,6240,240,1
79,6720,6852,132,1
78,6840,6972,132,1
76,6960,7092,132,1
78,7080,7212,132,1
81,7200,7332,132,1
79,7320,7452,132,1
78,7440,7572,132,1
79,7560,7692,132,1
81,7680,8160,480,1
81,8640,8700,60,1
83,8880,8940,60,1
85,9120,9180,60,1
86,9360,9420,60,1
81,9600,10080,480,1
78,10080,10560,480,1
81,10560,10680,120,1
79,10680,10800,120,1
78,10800,10920,120,1
79,10920,11040,120,1
81,11040,11160,120,1
79,11160,11280,120,1
78,11280,11400,120,1
76,11400,11520,120,1
74,11520,11640,120,1
69,12000,12120,120,1
78,12480,12568,88,1
79,12560,12648,88,1
78,12640,12728,88,1
79,12720,12808,88,1
78,12799,12887,88,1
79,12879,12967,88,1
78,12959,13047,88,1
79,13039,13127,88,1
78,13119,13207,88,1
76,13200,13332,132,1
74,13320,13452,132,1
73,13440,13560,120,1
69,13920,14040,120,1
76,14400,14520,120,1
76,15360,15480,120,1
69,15840,15960,120,1
79,16320,16408,88,1
81,16400,16488,88,1
79,16480,16568,88,1
81,16560,16648,88,1
79,16639,16727,88,1
81,16719,16807,88,1
79,16799,16887,88,1
81,16879,16967,88,1
79,16959,17047,88,1
78,17040,17172,132,1
76,17160,17292,132,1
74,17280,17400,120,1
69,17760,17880,120,1
78,18240,18360,120,1
78,19200,19320,120,1
74,19320,19452,132,1
76,19440,19572,132,1
78,19560,19692,132,1
79,19680,19812,132,1
81,19800,19932,132,1
83,19920,20052,132,1
85,20040,20172,132,1
86,20160,20292,132,1
85,20280,20412,132,1
83,20400,20532,132,1
81,20520,20652,132,1
79,20640,20772,132,1
78,20760,20892,132,1
76,20880,21012,132,1
74,21000,21132,132,1
76,21120,21252,132,1
78,21240,21372,132,1
76,21360,21492,132,1
75,21480,21612,132,1
76,21600,21732,132,1
78,21720,21852,132,1
79,21840,21972,132,1
81,21960,22092,132,1
83,22080,22212,132,1
81,22200,22332,132,1
79,22320,22452,132,1
78,22440,22572,132,1
76,22560,22692,132,1
74,22680,22812,132,1
73,22800,22932,132,1
71,22920,23052,132,1
73,23040,23172,132,1
74,23160,23292,132,1
73,23280,23412,132,1
69,23400,23532,132,1
74,23520,23640,120,1
79,24000,24132,132,1
81,24120,24252,132,1
79,24240,24372,132,1
76,24360,24492,132,1
79,24480,24612,132,1
78,24600,24732,132,1
76,24720,24852,132,1
74,24840,24972,132,1
73,24960,25092,132,1
74,25080,25212,132,1
73,25200,25332,132,1
69,25320,25452,132,1
74,25440,25560,120,1
79,25920,26052,132,1
81,26040,26172,132,1
79,26160,26292,132,1
76,26280,26412,132,1
79,26400,26532,132,1
78,26520,26652,132,1
76,26640,26772,132,1
74,26760,26892,132,1
73,26880,27000,120,1
76,27000,27120,120,1
73,27120,27240,120,1
69,27240,27360,120,1
78,27360,27480,120,1
81,27480,27600,120,1
78,27600,27720,120,1
74,27720,27840,120,1
73,27840,27960,120,1
76,27960,28080,120,1
73,28080,28200,120,1
69,28200,28320,120,1
78,28320,28440,120,1
81,28440,28560,120,1
78,28560,28680,120,1
74,28680,28800,120,1
76,28800,28890,90,1
73,28800,28890,90,1
76,29040,29130,90,1
73,29040,29130,90,1
81,29040,29130,90,1
81,29280,29370,90,1
73,29280,29370,90,1
76,29280,29370,90,1
81,29520,29610,90,1
73,29520,29610,90,1
76,29520,29610,90,1
76,29760,30180,420,1
81,29760,30180,420,1
73,29760,30180,420,1
74,30180,30240,60,1
73,30240,30360,120,1
71,30360,30480,120,1
73,30480,30600,120,1
74,30600,30720,120,1
75,30720,30960,240,1
76,30960,31200,240,1
76,31440,31680,240,1
81,31680,31920,240,1
80,31920,32160,240,1
78,32160,32400,240,1
76,32400,32640,240,1
73,32640,32880,240,1
74,32880,33120,240,1
74,33360,33600,240,1
76,33600,33840,240,1
74,33840,34080,240,1
73,34080,34320,240,1
